index	regle	original	corrige	phrase
10	participe.infinitif_vers_pp	orienter	orienté	Dans cette entreprise, le rôle de l'humain relève davantage de l'architecture que de l'écriture au sens traditionnel : concevoir la structure, donner le ton, orienter la pensée, arbitrer les choix.
17	participe.accord_etre	au	aue	deux questions qui se répondent comme dans un jeu de miroirs : Notre réalité humaine est-elle, au fond, qu'une simple ﬁction ?
21	homophone_p2g	et	est	La mise en garde est sincère, et surtout nécessaire.
28	participe.infinitif_vers_pp	accepter	accepté	Lire ce manuscrit, c'est accepter la possibilité d'enclencher, au sein de sa pensée, un profond changement de paradigme.
39	homophone_p2g	à	a	Si la réponse est oui, alors prépare-toi à plonger dans les plus profondes songeries que tu aies jamais
39	homophone.a_a	a	à	Si la réponse est oui, alors prépare-toi à plonger dans les plus profondes songeries que tu aies jamais
39	negation.elision	aies	n'aies	Si la réponse est oui, alors prépare-toi à plonger dans les plus profondes songeries que tu aies jamais
40	homophone.et_est	est	et	Si la réponse est non, referme ce livre.
42	negation.insertion		ne	Si tu te décides à franchir le pas, permets-moi une dernière recommandation.
43	homophone_p2g	a	à	À l'heure où j'écris ces lignes, personne n'a jamais lu ce manuscrit.
43	homophone.ou_ou	où	ou	À l'heure où j'écris ces lignes, personne n'a jamais lu ce manuscrit.
43	accord.sujet_verbe	a	ont	À l'heure où j'écris ces lignes, personne n'a jamais lu ce manuscrit.
46	participe.infinitif_vers_pp	inviter	invitée	L'objet de cet ultime avertissement n'est ni de disqualifier d'avance le jugement des autres, ni de t'inviter à suspendre toi-même tout jugement.
47	accord.adj_antepose	pensées	pensés	Il est plus simple que cela : Permettre que ta rencontre avec ce texte ne soit pas conditionnée par des pensées parasites et que tu puisses l'aborder dans un état d'esprit neutre pour lequel il a été pensé.
47	participe.accord_etre	conditionnée	conditionné	Il est plus simple que cela : Permettre que ta rencontre avec ce texte ne soit pas conditionnée par des pensées parasites et que tu puisses l'aborder dans un état d'esprit neutre pour lequel il a été pensé.
52	homophone_p2g	Et	Est	Et un jour, sans qu'on puisse dire exactement quand ni comment, quelqu'un fait partie de votre vie.
